"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.00188991158385789,0.000414313104057967,4.56155396811556,1.75981242702718e-05
"log.age",5.71475413470605e-05,2.29417873768941e-05,2.49098034116631,0.0147566903039801
"log.depth",6.01490811101409e-05,2.2333462278647e-05,2.69322688796217,0.00857890397172619
"BorealV",-0.000226967762129695,6.68552951613327e-05,-3.39491077830088,0.00106022951885056
"log.DIP",-5.18394917035761e-05,2.51855759399852e-05,-2.05830082373755,0.0427367973595542
"log.precip",-0.000181702141322115,6.14320948157539e-05,-2.95777218515945,0.00404749602353786
