"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",7.91556954123669,2.20628475070856,3.58773704921568,0.000576452241881282
"airTemp",0.121139695181987,0.0260459163410807,4.65100530907105,1.30617825279172e-05
"log.age",-0.0843652101207954,0.124111539252016,-0.679753152923893,0.498647814688316
"log.depth",-0.436620893035226,0.134862758128753,-3.23752012114704,0.00176350795811377
"log.DIP",0.403772053687092,0.137868137869259,2.92868286993177,0.00444657447738761
"log.precip",-0.971926017649621,0.341610564994933,-2.84512868524437,0.00565168834859603
"BorealV",1.93183241131699,0.463108143094251,4.17144988729733,7.70694330863543e-05
"TropicalV",0.396458634482867,0.537191036946357,0.738021685425956,0.462687986335982
